,scores0,scores1
1169,32.465,32.795
1170,31.966,32.824
1171,32.047,33.083
1172,31.776,33.022
1173,31.716,33.159
1174,31.618,33.592
1175,31.759,33.529
1176,31.738,33.755
1177,31.789,33.842
1178,32.06,33.713
1179,32.172,33.985
1180,32.578,33.965
1181,32.419,33.822
1182,32.158,33.938
1183,32.075,33.841
1184,32.151,34.03
1185,32.233,34.582
1186,32.4,34.706
1187,32.684,34.245
1188,32.594,33.856
1189,32.593,33.511
1190,32.686,33.585
1191,32.733,34.122
1192,32.9,34.314
1193,32.723,34.159
1194,32.242,33.987
1195,32.566,34.354
1196,32.485,34.406
1197,32.022,34.469
1198,32.193,34.723
1199,32.129,34.747
1200,31.938,34.507
1201,31.981,34.396
1202,32.377,34.559
1203,32.919,34.06
1204,32.982,33.86
1205,33.199,34.091
1206,32.832,33.768
1207,32.957,33.813
1208,33.506,34.078
1209,33.571,34.101
1210,33.671,33.711
1211,33.584,33.674
1212,33.329,33.717
1213,33.533,33.693
1214,33.784,34.02
1215,33.475,34.017
1216,33.571,34.221
1217,33.887,34.161
1218,33.813,34.215
1219,33.918,34.62
1220,34.326,34.85
1221,34.002,34.793
1222,34.085,35.107
1223,33.804,35.35
1224,33.879,34.79
1225,33.471,35.006
1226,33.453,35.027
1227,33.627,34.709
1228,33.821,34.803
1229,34.19,35.298
1230,33.859,34.943
1231,33.671,34.923
1232,33.228,35.325
1233,33.196,35.408
1234,33.229,35.298
1235,33.134,35.45
1236,33.346,35.789
1237,33.803,35.561
1238,34.005,35.793
1239,33.705,36.338
1240,33.945,36.59
1241,33.58,36.695
1242,33.817,36.705
1243,33.702,36.207
1244,33.656,35.848
1245,33.935,35.489
1246,34.034,35.35
1247,33.619,35.467
1248,33.736,35.276
1249,33.974,34.998
1250,34.201,34.843
1251,34.065,35.002
1252,34.01,34.9
1253,34.132,34.814
1254,34.138,34.599
1255,33.572,34.741
1256,33.795,34.801
1257,34.174,34.923
1258,34.521,35.354
1259,34.75,35.661
1260,34.816,35.796
1261,34.784,36.064
